model,data_type,split,n_features,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1,training_time,trained_model
Logistic L2 (C=0.1),PCA,80:20,15,0.4030612244897959,0.35374149659863946,0.38027046003023035,0.31526595427954507,0.4030612244897959,0.35374149659863946,0.35108992449217896,0.3028880450735269,0.009944438934326172,"LogisticRegression(C=0.1, max_iter=1000, random_state=42)"
Decision Tree,PCA,80:20,15,0.7202380952380952,0.3401360544217687,0.7432313237860827,0.32901477824025155,0.7202380952380952,0.3401360544217687,0.7163218114984495,0.32367188954561726,0.036469221115112305,"DecisionTreeClassifier(max_depth=10, random_state=42)"
Decision Tree (deep),PCA,80:20,15,0.9659863945578231,0.3163265306122449,0.9662755006386684,0.3163905060456785,0.9659863945578231,0.3163265306122449,0.9660143288603673,0.3161319498791451,0.04916787147521973,"DecisionTreeClassifier(max_depth=20, random_state=42)"
Random Forest,PCA,80:20,15,0.9855442176870748,0.35374149659863946,0.9860648708635996,0.3439673595250769,0.9855442176870748,0.35374149659863946,0.9855838087072369,0.3284369245270982,0.2530663013458252,"RandomForestClassifier(max_depth=10, n_jobs=-1, random_state=42)"
SVM (linear),PCA,80:20,15,0.3869047619047619,0.3877551020408163,0.14969529478458052,0.15035401915868388,0.3869047619047619,0.3877551020408163,0.2158696096464337,0.21668667466986796,0.35713958740234375,"SVC(kernel='linear', probability=True, random_state=42)"
SVM (rbf),PCA,80:20,15,0.5637755102040817,0.3945578231292517,0.5981040848504264,0.389932065881433,0.5637755102040817,0.3945578231292517,0.5411734729571493,0.36047665752731656,0.400280237197876,"SVC(probability=True, random_state=42)"
KNN (k=5),PCA,80:20,15,0.5493197278911565,0.3673469387755102,0.5708743198566507,0.3669690098261527,0.5493197278911565,0.3673469387755102,0.5381006712466175,0.35372553396799794,0.05658578872680664,KNeighborsClassifier()
MLP,PCA,80:20,15,0.3647959183673469,0.32653061224489793,0.3592929420459958,0.31675180684008936,0.3647959183673469,0.32653061224489793,0.3515779966492748,0.30818242592513106,0.13086581230163574,"MLPClassifier(early_stopping=True, hidden_layer_sizes=(100, 50), max_iter=500,
              random_state=42)"
Naive Bayes,PCA,70:30,15,0.41788143828960156,0.35600907029478457,0.41364627766870704,0.3535321133948085,0.41788143828960156,0.35600907029478457,0.4139368526239236,0.3536104588181095,0.00750732421875,GaussianNB()
Logistic Regression,PCA,70:30,15,0.4003887269193392,0.3786848072562358,0.39238344531006114,0.35815882699461754,0.4003887269193392,0.3786848072562358,0.36864420184420177,0.34551764237089694,0.010020256042480469,"LogisticRegression(max_iter=1000, random_state=42)"
Logistic L2 (C=0.1),PCA,70:30,15,0.40233236151603496,0.3764172335600907,0.3950063450229561,0.3535627115664038,0.40233236151603496,0.3764172335600907,0.36876357001163756,0.3415280514824588,0.009552478790283203,"LogisticRegression(C=0.1, max_iter=1000, random_state=42)"
Decision Tree,PCA,70:30,15,0.7035957240038873,0.34467120181405897,0.7526995201405987,0.3345582827246461,0.7035957240038873,0.34467120181405897,0.6981916387597419,0.3290448386081961,0.03517031669616699,"DecisionTreeClassifier(max_depth=10, random_state=42)"
Decision Tree (deep),PCA,70:30,15,0.9854227405247813,0.3242630385487528,0.9856018187154926,0.3243219997609112,0.9854227405247813,0.3242630385487528,0.985435184547833,0.324161610342004,0.043917179107666016,"DecisionTreeClassifier(max_depth=20, random_state=42)"
Random Forest,PCA,70:30,15,0.9902818270165209,0.35827664399092973,0.9904660672854743,0.342986612011323,0.9902818270165209,0.35827664399092973,0.9902908236238019,0.3380548826261718,0.23029613494873047,"RandomForestClassifier(max_depth=10, n_jobs=-1, random_state=42)"
SVM (linear),PCA,70:30,15,0.3867832847424684,0.3877551020408163,0.1496013093561734,0.15035401915868388,0.3867832847424684,0.3877551020408163,0.21575297453048695,0.21668667466986796,0.27742910385131836,"SVC(kernel='linear', probability=True, random_state=42)"
SVM (rbf),PCA,70:30,15,0.5675413022351797,0.35147392290249435,0.5966108491463461,0.33092901614169673,0.5675413022351797,0.35147392290249435,0.5469463277412185,0.3229256676021658,0.3196711540222168,"SVC(probability=True, random_state=42)"
KNN (k=5),PCA,70:30,15,0.5510204081632653,0.3310657596371882,0.5715049207271354,0.32865961199294536,0.5510204081632653,0.3310657596371882,0.5414835309537007,0.32125463688180517,0.05706310272216797,KNeighborsClassifier()
